prd_cd,prd_brnd_nm,prd_brnd_cd,prd_tp_cat_vl,prd_nm,item_index
319980100084,"",31998,생활용품,[P][판매중지] 미세먼지 딥클렌징 선물세트 (낱개세트),884
111610100073,프레시팝,11161,샴푸,[2입] 순한 거품 샴푸,885
180020000035,데싱디바,18002,네일아트 & 스티커,데싱디바 매직젤스트립 레드 아가일 DGST134,886
220010000300,리리코스,22001,아이 & 넥,링클 마스터 멀티 케어 아이크림,887
002061000360,에뛰드하우스,00206,립틴트,타투 인 레드 (타투틴트3종+전용리무버),888
005031000027,라 리베라,00503,스킨/바디케어,[자연주의베블] 베블 풀세트2(바디밀크200ml+페이셜+워시택1+컨디셔너),889
007011000465,CEO 보떼,00701,향수,쥬시꾸뛰르 락더레인보우 프리티인퍼플 EDT 75ML,890
111170100314,설화수,11117,크림,설린 3종 기획세트,891
001081100033,라포티셀,00108,클렌징,꼼꼼촉촉 클렌저 세트(딥 클렌징 오일+A.C. 데일리 카밍 칼라민 클렌저),892
111970000365,라네즈,11197,에센스 & 세럼,화이트 듀 오리지널 앰플 에센스,893
111970000864,라네즈,11197,프라이머 & 베이스,글로이 메이크업 세럼 (특가),894
111270000164,일리윤,11127,바디오일 & 미스트,컴포트 레스트 아웃도어 미스트,895
170010000568,"",17001,프라이머 & 베이스,[P] 올데이 필터 톤업 베이스 30ml,896
111170000078,설화수,11117,메이크업 리무버,순행클렌징오일,897
007011000421,CEO 보떼,00701,스킨케어,랑팔라투르 사봉에코세트 올리브 플라워 100g 5개 (사각 비누),898
111771000710,이니스프리,11177,마스카라,스키니 꼼꼼카라,899
111970000570,라네즈,11197,메이크업 리무버,퍼펙트 메이크업 클렌징 워터,900
111130000510,"",11113,립,[P] 컬러 라이브 틴트,901
001081000040,라포티셀,00108,스킨 & 토너,A.C. 데일리 카밍 필링 부스터 125ml,902
003021000113,아로마티카,00302,핸드 & 풋케어,[핸드케어SET] 에너진저 핸드워시 300ml + 핸드&네일 크림 50ml [만다린&엘레미],903
007011000535,CEO 보떼,00701,향수,벤츠 우먼 EDT 30ML,904
611121000063,에스쁘아,61112,페이스,메가 픽스 블렌더,905
310090100021,댄트롤,31009,샴푸,[세트] 쿨링 멘톨 탄산수 샴푸/린스,906
003021000069,아로마티카,00302,에센스 & 세럼,라이블리 슈퍼베리어™ 시카-판테놀 세럼 30ml,907
111771001147,이니스프리,11177,스페셜 케어,카멜리아 에센셜 헤어 오일 세럼 100ml,908
002061000166,에뛰드하우스,00206,클렌징,베이킹 파우더 모공 클렌징폼 NEW -대용량(300ml),909
220110000076,구딸파리,22011,여성향수,그랑 아무르 EDP,910
003021000088,아로마티카,00302,샴푸,[리필]티트리 퓨리파잉 샴푸 400ml,911
111771000890,이니스프리,11177,스킨 & 토너,19´ 퍼펙트 9 리페어 스킨,912
002061000152,에뛰드하우스,00206,컬러,핫 스타일 버블 헤어 컬러링 NEW,913
111290000554,해피바스,11129,바디워시,스킨유 에멀전 샤워젤 3종,914
110640000261,프리메라,11064,앰플,수딩 센서티브 컨센트레이트,915
111290000268,해피바스,11129,바디워시,여성 청결제,916
611121000136,에스쁘아,61112,블러셔,블러쉬 크림,917
111771001164,이니스프리,11177,클렌징 폼,화산송이 모공 비누,918
111270000210,일리윤,11127,클렌징 워터,세라마이드 미셀라 워터,919
002061000144,에뛰드하우스,00206,페이스,픽스 앤 픽스 미스트 픽서,920
111771001514,이니스프리,11177,파운데이션,마이 파운데이션 올데이롱웨어 (13C~23N),921
111310100472,미쟝센,11131,샴푸,[3입] 헬시&스트롱 리페어 샴푸,922
002061000124,에뛰드하우스,00206,아이브로우,청순 거짓 브라우 카라,923
177770000036,비레디,17777,선케어,슈퍼 마일드 선 프라이머,924
111850000043,큐브미,11185,뷰티푸드,엠티 큐브 8주,925
003021000064,아로마티카,00302,트리트먼트 & 팩,퀴노아 프로틴 트리트먼트 마스크 160ml,926
111860000030,프라도어,11186,바디모이스처라이저,바디 프라이머 크림(Tube) [03] 기획세트,927
110650100498,마몽드,11065,세트,세라마이드 2종 세트,928
000511000070,피카소,00051,소품 & 도구,휴대용 쿠션 파우치,929
000521000023,피카소 꼴레지오니,00052,치크(Cheek) 전용,퍼펙트 블러셔 SET (108+14),930
111410100328,려,11141,에센스 & 세럼 & 오일,[2입] 자양윤모 에센스,931
000511000193,피카소,00051,입술(Lip) 전용,New 505 컨실러 / 립,932
002091000034,캔메이크,00209,아이브로우,래스팅 멀티 브로우 코트,933
007011000481,CEO 보떼,00701,스킨케어,랑팔라투르 사보너리 블랑 바디 선물세트(샴푸+바디워시+비누2종+기프트박스),934
111270000177,일리윤,11127,"",[P] 세라마이드 아토 립밤,935
310050100163,메디안,31005,치약,치석치약 잇몸 6입,936
007011000047,프라고나르퍼퓸,00701,향수,프라고나르 옴므 엘레강 오데토일렛 100ML,937
002151000009,맥스팩터,00215,마스카라,래쉬 크라운 풀 롱 디파인드 마스카라 블랙,938
001051000019,해서린,00105,로션 & 에멀젼,모닝 부스트 하이드레이팅 아침 로션 200ml,939
110640000289,프리메라,11064,클렌징 폼,내추럴 솝 바,940
002111000011,PUPA(뿌빠),00211,아이브로우,하이 데피니션 오토매틱 아이브로우 펜슬,941
170070000003,이지피지,17007,크림,오일 판타스틱,942
111771000588,이니스프리,11177,크림,그린티씨드크림50ML(19),943
005021000053,마이팩토리,00502,눈(Eye) 전용,엘리트모델스 아이섀도우 브러시,944
