"prd_cd","tg_prd_cd_cd","prd_nm","prd_cd_cd","prd_brnd_nm","prd_brnd_nm_cd","tg_prd_brnd_nm_cd","apmall_cate_lev1","apmall_cate_lev1_nm","apmall_cate_lev1_cd","tg_apmall_cate_lev1_cd","apmall_cate_lev2","apmall_cate_lev2_nm","apmall_cate_lev2_cd","tg_apmall_cate_lev2_cd","apmall_cate_lev3","apmall_cate_lev3_nm","apmall_cate_lev3_cd","tg_apmall_cate_lev3_cd","brand_sn","brand_name","brand_sn_cd","tg_brand_sn_cd","set_yn","set_yn_cd","tg_set_yn_cd","brnd_grp_nm","brnd_grp_nm_cd","tg_brnd_grp_nm_cd","brnd_dtl_cd","brnd_dtl_nm","brnd_dtl_cd_cd","tg_brnd_dtl_cd_cd","prd_mkt_cat_cd","prd_mkt_cat_nm","prd_mkt_cat_cd_cd","tg_prd_mkt_cat_cd_cd","prd_mkt_lcat_cd","prd_mkt_lcat_nm","prd_mkt_lcat_cd_cd","tg_prd_mkt_lcat_cd_cd","prd_use_cd","prd_use_cd_cd","tg_prd_use_cd_cd","prd_scat_cd","prd_scat_nm","prd_scat_cd_cd","tg_prd_scat_cd_cd","prd_mcat_cd","prd_mcat_nm","prd_mcat_cd_cd","tg_prd_mcat_cd_cd","prd_lcat_cd","prd_lcat_nm","prd_lcat_cd_cd","tg_prd_lcat_cd_cd","main_func_cd","main_func_nm","main_func_cd_cd","tg_main_func_cd_cd","user_tp_cd","user_tp_cd_nm","user_tp_cd_cd","tg_user_tp_cd_cd","prd_grd_cd","prd_grd_cd_cd","tg_prd_grd_cd_cd"
"111130000331","448","맨 올데이 퍼펙트 올인원","448","아이오페","51","51","CTG007","남성","6","6","CTG007003","에센스 & 크림","27","27","CTG007003","에센스 & 크림","85","85","17","아이오페","6","6","N","0","0","프리미엄","4","4","11113","아이오페","11","11","S7","남성(스킨케어)","14","14","S","스킨케어","2","2","01","1","1","AAK","스킨케어기타","9","9","AA","스킨케어","0","0","A","Beauty","0","0","AA02","스킨케어 _안티에이징_피부탄력. 재생","2","2","3","남성용","3","3","R11","4","4"
"111130000423","455","[대용량] 더마 리페어 시카크림","455","아이오페","51","51","CTG001","스킨케어","0","0","CTG001002","모이스처라이징","2","2","CTG001002004","크림","11","11","17","아이오페","6","6","N","0","0","프리미엄","4","4","11113","아이오페","11","11","SZ","기타(스킨케어)","15","15","S","스킨케어","2","2","01","1","1","AAD","크림","3","3","AA","스킨케어","0","0","A","Beauty","0","0","AA04","스킨케어 _민감성","4","4","1","공용","1","1","R11","4","4"
"110650000791","344","에브리데이 아쿠아 선크림 SPF50+/PA++++","344","마몽드","21","21","CTG001","스킨케어","0","0","CTG001004","선케어","4","4","CTG001004","선케어","18","18","11","마몽드","2","2","N","0","0","프리미엄","4","4","11065","마몽드","5","5","S5","페이셜 선케어(스킨케어)","12","12","S","스킨케어","2","2","01","1","1","AAH","페이셜선케어","7","7","AA","스킨케어","0","0","A","Beauty","0","0","AA06","스킨케어 _자외선차단","6","6","1","공용","1","1","A02","3","3"
"007011000569","215","남자인기향수 폴리스 한정 특가","215","CEO 보떼","0","0","CTG003","네일 & 향수","2","2","CTG003002","향수","13","13","CTG003002","향수","42","42","77","CEO 보떼","50","50","N","0","0",,"5","5",,,"53","53",,,"24","24",,,"3","3",,"2","2",,,"59","59",,,"11","11",,,"3","3",,,"67","67",,,"5","5",,"15","15"
"111070000575","400","루즈 홀릭 크림","400","헤라","78","78","CTG002","메이크업","1","1","CTG002002","립","7","7","CTG002002001","립스틱","28","28","15","헤라","5","5","N","0","0","럭셔리","3","3","11107","헤라","8","8","M4","립(메이크업)","4","4","M","메이크업","1","1","01","1","1","ABJ","립스틱(고체)","18","18","AB","메이크업","1","1","A","Beauty","0","0","BC03","메이크업_립스틱(고체)_인텐스(고발색)","27","27","2","여성용","2","2","R13","6","6"
"111170000543","519","[SS 컬렉션] 에센셜 립세럼 스틱","519","설화수","39","39","CTG002","메이크업","1","1","CTG002002","립","7","7","CTG002002003","립케어 & 립밤 ","30","30","18","설화수","7","7","N","0","0","럭셔리","3","3","11117","설화수","12","12","M4","립(메이크업)","4","4","M","메이크업","1","1","01","1","1","ABL","립밤/립케어","20","20","AB","메이크업","1","1","A","Beauty","0","0","BA07","메이크업_컬러표현","20","20","2","여성용","2","2","X00","12","12"
"002011000002","51","쉬머&글로우 리퀴드 아이섀도우","51","스틸라","45","45","CTG002","메이크업","1","1","CTG002003","아이","8","8","CTG002003006","아이섀도우","35","35","57","스틸라","38","38","N","0","0",,"5","5",,,"53","53",,,"24","24",,,"3","3",,"2","2",,,"59","59",,,"11","11",,,"3","3",,,"67","67",,,"5","5",,"15","15"
"002061000518","116","순정 약산성 5.5 클렌징 워터 320ml","116","에뛰드","53","53","CTG001","스킨케어","0","0","CTG001001","클렌징","1","1","CTG001001006","클렌징 워터","7","7","46","에뛰드","32","32","N","0","0","관계사","1","1","11108","에뛰드 하우스","9","9","S4","클렌징(스킨케어)","11","11","S","스킨케어","2","2","01","1","1","AAF","메이크업 클렌징","5","5","AA","스킨케어","0","0","A","Beauty","0","0","AA13","클렌징_메이크업클렌징","12","12","1","공용","1","1","R15","8","8"
"007011000534","210","★취향저격 아티산 세트 3종★","210","CEO 보떼","0","0","CTG003","네일 & 향수","2","2","CTG003002","향수","13","13","CTG003002","향수","42","42","77","CEO 보떼","50","50","N","0","0",,"5","5",,,"53","53",,,"24","24",,,"3","3",,"2","2",,,"59","59",,,"11","11",,,"3","3",,,"67","67",,,"5","5",,"15","15"
"111170100139","528","진설2종 기획(쇼핑백 포함)","528","설화수","39","39","CTG001","스킨케어","0","0","CTG001005","세트","5","5","CTG001005","세트","19","19","18","설화수","7","7","Y","1","1","럭셔리","3","3","11117","설화수","12","12","ZZ","기타(비화장품)","23","23","H","HBD외","0","0","01","1","1","AJA","세트상품","55","55","AJ","세트상품","8","8","A","Beauty","0","0","AA01","스킨케어 _안티에이징_주름개선(부위별)","1","1","2","여성용","2","2","X00","12","12"
"111410100316","700","[3입] 자양윤모 새치커버 3.0 흑갈색","700","려","15","15","CTG004","생활용품","3","3","CTG004002","헤어","15","15","CTG004002005","스타일링 ","61","61","23","려","12","12","Y","1","1",,"5","5",,,"53","53",,,"24","24",,,"3","3",,"2","2",,,"59","59",,,"11","11",,,"3","3",,,"67","67",,,"5","5",,"15","15"
